시설명,카테고리,시도 명칭,위도,경도,전화번호,홈페이지,휴무일,운영시간,장애인용 출입문,장애인 화장실 유무,장애인 전용 주차장 여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부
겸재정선미술관,전시/공연,서울특별시,37.57222297,126.838412,02-2659-2206,www.gjjs.or.kr/,"매주 월요일, 공휴일","3월-10월 10:00-18:00, 11월-2월 10:00-17:00, 공휴일 10:00-17:00, 1시간 전 입장마감",Y,Y,Y,Y,N
경기관광박람회,전시/공연,경기도,37.66893348,126.745803,031-259-7308,www.gitm.or.kr/,정보없음,정보없음,Y,N,N,Y,Y
경기광주시어린이급식관리지원센터도담도담튼튼광장,전시/공연,경기도,37.39541553,127.279661,031-769-9494,ccfsm.foodnara.go.kr/gjcity/,정보없음,정보없음,N,N,N,N,N
경기교육자치역사관,전시/공연,경기도,37.29855518,127.022074,031-249-0114,www.goe.go.kr/,"매주 토요일, 일요일, 공휴일",평일 08:30-18:30,N,N,N,N,N
경기국악당,전시/공연,경기도,37.25940011,127.11362,031-289-6400,www.ggad.or.kr/,"매주 토요일, 일요일, 공휴일",09:00-18:00,Y,Y,Y,Y,Y
경기국악원,전시/공연,경기도,37.2955999,126.983686,,정보없음,정보없음,09:00-22:00,N,N,N,N,N
경기국악원국악당,전시/공연,경기도,37.25940011,127.11362,031-289-6422,www.ggad.or.kr,"매주 토요일, 일요일, 공휴일",월-금 09:00-18:00,Y,Y,Y,Y,Y
경기국제관광박람회,전시/공연,경기도,37.66893348,126.745803,,정보없음,정보없음,정보없음,N,N,N,N,N
경기도광주역사박물관(2024년예정),전시/공연,경기도,37.40144501,127.249993,,정보없음,정보없음,정보없음,N,N,N,N,N
경기도국민안전체험관,문화관광/명소,경기도,37.17843579,127.062731,,정보없음,정보없음,정보없음,Y,Y,Y,N,N
경기도기술학교 운동장,레저/체육/공원,경기도,37.2202432,127.044984,031-270-9979,정보없음,정보없음,정보없음,Y,Y,Y,Y,N
경기도남부경찰청경기경찰홍보관,전시/공연,경기도,37.29501522,127.033426,031-888-2721,www.ggpolice.go.kr/main/index.do#,연중무휴,정보없음,Y,Y,Y,Y,Y
경기도문화원연합회,전시/공연,경기도,37.26577519,127.036882,031-239-1020,www.kccfgg.org/new_web/html/intro.html,정보없음,정보없음,N,N,Y,Y,N
경기도문화의전당 국악당,전시/공연,경기도,37.25940011,127.11362,031-289-6400,www.ggad.or.kr/,정보없음,"주중 09:00-18:00, 주말 정보없음",Y,Y,Y,Y,Y
경기도미술관,전시/공연,경기도,37.32507855,126.80999,031-481-7000,gmoma.ggcf.kr,"매주 월요일, 공휴일",10:00-18:00,Y,Y,Y,Y,Y
경기도박물관,전시/공연,경기도,37.26818786,127.108653,031-288-5300,musenet.ggcf.kr/,"매주 월요일, 공휴일",10:00-18:00,Y,Y,Y,Y,Y
경기도상상캠퍼스,전시/공연,경기도,37.26677627,126.985018,,정보없음,정보없음,정보없음,N,N,N,N,N
경기도어린이박물관,전시/공연,경기도,37.26818786,127.108653,031-270-8600,gcm.ggcf.kr,정보없음,10:00-17:30,Y,Y,Y,Y,Y
경기도어린이박물관강당,전시/공연,경기도,37.26818786,127.108653,031-270-8600,gcm.ggcf.kr/,"매주 월요일, 공휴일","1회차 10:00-13:00, 2회차 14:00-17:30",Y,Y,Y,Y,Y
경기도어린이식품안전체험관의정부센터,문화관광/명소,경기도,37.76339433,127.095742,031-840-8035,uichfoodsafety.kr/,"일요일 휴무 첫째, 셋째주 토요일, 공휴일 휴무","평일 10:00-17:00 점심시간 12:00-13:00,토요일 10:00-15:00 점심시간 12:00-13:00, 둘째, 넷째주 운영",Y,N,Y,N,N
경기도요트협회,레저/체육/공원,경기도,36.92001237,126.919025,031-681-7507,정보없음,정보없음,정보없음,N,N,N,N,N
경기도우수중소기업제품전시관,전시/공연,경기도,37.66893348,126.745803,,정보없음,정보없음,정보없음,N,N,N,N,N
경기도이천민속도예합동전시관,전시/공연,경기도,37.2936788,127.411746,,정보없음,정보없음,정보없음,N,N,N,N,N
경기도자미술관,전시/공연,경기도,37.27640872,127.423365,031-645-0730,www.kocef.org/02museum/04.asp,"매주 월요일, 공휴일","09:30-12:00, 13:00-18:00",Y,Y,Y,Y,N
경기도자박물관,전시/공연,경기도,37.35028278,127.334786,031-799-1500,www.kocef.org/02museum/g02_01.asp,상시변동,화-일 09:00-18:00,Y,Y,Y,Y,Y
경기도카약협회,레저/체육/공원,경기도,37.64146504,126.786743,070-4105-4765,정보없음,정보없음,정보없음,N,N,N,N,N
경기도통일플러스센터(2025년예정),전시/공연,경기도,37.7463385,127.043092,,정보없음,정보없음,정보없음,N,N,N,N,N
경기도행정역사관,전시/공연,경기도,37.31562945,126.991063,031-8008-8868,gghistory.modoo.at,"매주 토요일, 일요일, 공휴일",평일 9:00-18:00,N,N,Y,N,N
경기디자인페스티벌2011운영사무국,전시/공연,경기도,37.66893348,126.745803,02-3475-2693,정보없음,정보없음,정보없음,N,N,N,N,N
경기문화재단,전시/공연,경기도,37.26677627,126.985018,031-231-7200,정보없음,"매주 토요일, 일요일, 공휴일",09:00-18:00,Y,N,Y,Y,N
경기북부어린이박물관,전시/공연,경기도,37.94457481,127.064321,031-868-9610,ngcm.ggcf.kr/,"월요일(월요일이 공휴일인 경우 개관), 1월 1일, 설날 및 추석 당일",정보없음,Y,N,Y,Y,N
경기상상캠퍼스,전시/공연,경기도,37.26677627,126.985018,031-296-1980,sscampus.kr,"매주 월요일, 공휴일",화요일-일요일 09:00-18:00,Y,N,Y,Y,N
경기생활도자미술관,전시/공연,경기도,37.30014504,127.654546,031-887-8250,www.kocef.org/02museum/05.asp,연중무휴,화-일 10:00-18:00,N,N,N,N,N
경기소리전수교육관,전시/공연,경기도,37.42784857,127.001304,02-507-5825,www.gsih.or.kr/,매주 일요일,"평일 09:00-18:00 경기소리 전수교육, 국악강좌(토요일 10시)",Y,Y,Y,Y,Y
경기수원생생공화국,전시/공연,경기도,37.26677627,126.985018,,정보없음,정보없음,정보없음,N,N,N,N,N
경기아트센터,전시/공연,경기도,37.26158333,127.03757,031-230-3200,www.ggac.or.kr/,정보없음,정보없음,Y,Y,Y,Y,Y
경기예술고등학교 아트홀,전시/공연,경기도,37.50575359,126.761368,032-328-0844,www.kgart.hs.kr/?act=doc&mcode=2610,정보없음,정보없음,N,N,N,N,N
경기음식페스티벌,전시/공연,경기도,37.66893348,126.745803,,정보없음,정보없음,정보없음,N,N,N,N,N
경기청년문화창작소,전시/공연,경기도,37.26677627,126.985018,,정보없음,정보없음,정보없음,N,N,N,N,N
경기해양안전체험관,전시/공연,경기도,37.28942506,126.580997,032-890-5011,www.maritimesafety.or.kr/ko,"일요일, 공휴일 및 매월 네 번째 월요일",09:00-18:00 09:00-17:00,Y,Y,Y,N,Y
경남교육역사기록관,전시/공연,경상남도,35.24478384,128.663745,055-276-9470,https://url.kr/6pz9ku,"매주 토요일, 일요일, 공휴일","평일 10:00-12:00,14:00-17:00",Y,N,N,Y,N
경남교육청유아교육원김해체험분원,전시/공연,경상남도,35.22832545,128.763447,055-343-8681,정보없음,"매주 토요일, 일요일, 공휴일","10:00-15:00,매달 둘째, 셋째주 토요일 09:00-12:00",Y,N,N,N,N
경남대학교박물관,전시/공연,경상남도,35.18432093,128.555096,055-249-2924,www.kyungnam.ac.kr/sites/museum/index.do,"매주 토요일, 일요일, 공휴일",평일 10:00-17:00 (방학중 15:00 마감),Y,Y,Y,Y,Y
경남도립미술관,전시/공연,경상남도,35.23946357,128.690857,0507-1427-4601,www.gyeongnam.go.kr/gam,매주 월요일,10:00-18:00,Y,Y,Y,Y,Y
경남모던윈드오케스트라,전시/공연,경상남도,35.24026472,128.64914,,cafe.daum.net/modernwind,정보없음,정보없음,N,Y,N,N,N
경남문학관,전시/공연,경상남도,35.17017089,128.657927,055-547-8277,www.gnmunhak.co.kr/,"매주 일요일, 월요일, 공휴일",10:00-17:00,Y,N,N,Y,N
경남문화예술진흥원,전시/공연,경상남도,35.62560796,128.350299,055-230-8600,gcaf.or.kr/,정보없음,정보없음,N,N,N,N,N
경남문화예술회관,전시/공연,경상남도,35.18727372,128.091744,1544-6711,artcenter.gyeongnam.go.kr/main.do,"매주 토요일, 일요일, 공휴일",월-금 오전 9:00-오후 6:00,Y,Y,Y,N,Y
경남신문역사관,전시/공연,경상남도,35.23134432,128.68781,,정보없음,정보없음,10:00-16:00,Y,N,Y,Y,N
경남음악창작소뮤지시스,전시/공연,경상남도,35.24373381,128.869411,055-230-8850,www.musisis.or.kr/web/main/main.do?mId=1,"매주 토요일, 일요일, 공휴일","평일 09:00-18:00, 대관 등과 같이 운영시간 연장이 필요할 경우는 협의하여 조정 가능(평일,주말,공휴일 포함)",Y,Y,Y,Y,N
경남풋살,레저/체육/공원,경상남도,35.27307438,128.477557,055-584-2006,정보없음,정보없음,정보없음,N,N,N,Y,Y
경남해양캠프,문화관광/명소,경상남도,35.16311849,128.612327,,정보없음,정보없음,정보없음,N,N,N,N,N
경대로소극장냄비,전시/공연,대구광역시,35.89014509,128.618317,0507-1303-4347,정보없음,정보없음,정보없음,N,N,N,N,N
경복궁,문화관광/명소,서울특별시,37.57590409,126.976842,02-3700-3900,www.royalpalace.go.kr/,연중무휴,운영시간상이,Y,Y,Y,Y,Y
경복궁아트홀,전시/공연,서울특별시,37.58335259,126.970697,02-305-0525,정보없음,정보없음,정보없음,N,N,N,N,N
경북과학대전통문화체험학교,전시/공연,경상북도,35.99376817,128.338931,054-972-9796,kmuseum.kbsc.ac.kr/,정보없음,정보없음,N,N,N,N,N
경북과학대학교박물관,전시/공연,경상북도,35.98318752,128.345669,054-972-9796,kmuseum.kbsc.ac.kr,정보없음,09:00-18:00,N,Y,N,N,N
경북구미일반조종면허면제교육장,레저/체육/공원,경상북도,36.08378471,128.38685,054-602-0001,https://url.kr/d3918l,"매주 토요일, 일요일, 공휴일",09:00-18:00,Y,N,N,Y,N
경북대학교대구캠퍼스박물관,전시/공연,대구광역시,35.88909749,128.614322,053-950-6537,museum.knu.ac.kr/,매주 일요일,10:00-17:00,Y,Y,Y,Y,N
경북대학교자연사박물관,전시/공연,경상북도,36.12173194,128.576603,054-383-7026,mnh.knu.ac.k,"매주 월요일, 공휴일",화요일-일요일 10:00-17:30 (입장마감 17:00),Y,Y,Y,Y,Y
경북산림과학박물관,전시/공연,경상북도,36.71396814,128.824678,054-855-8681,https://url.kr/5n9g4d,매주 월요일,"3월-10월 09:00-18:00, 11월-2월 09:00-17:00",Y,Y,Y,N,N
경북예술고등학교미술관,전시/공연,대구광역시,35.85591083,128.586415,053-235-8299,www.gahs.or.kr/,"매주 토요일, 일요일, 공휴일",08:00-17:00,Y,N,N,Y,N
경북예술문화원,전시/공연,대구광역시,35.88909749,128.614322,053-950-7933,정보없음,정보없음,정보없음,N,N,N,N,Y
경북요트학교,레저/체육/공원,경상북도,36.3634935,129.38319,054-732-8884,정보없음,정보없음,정보없음,N,N,N,Y,N
경북청송골프장(2025년예정),레저/체육/공원,경상북도,36.49807092,129.047023,,정보없음,정보없음,정보없음,N,N,N,N,N
경산드림멀티구장,레저/체육/공원,경상북도,35.83206454,128.785479,053-817-5006,정보없음,정보없음,정보없음,N,N,N,N,N
경산묘목홍보전시관,전시/공연,경상북도,35.88741639,128.794385,053-810-6903,https://url.kr/m41kth,"매주 토요일, 일요일, 공휴일",주중 매일 10시-17시,Y,Y,Y,Y,Y
경산문화회관,전시/공연,경상북도,35.91152341,128.812804,053-810-5388,www.gbgs.go.kr/lll/index.do,공휴일,"평일 10:00-22:00(건물내 체육관이 있어 10시까지 운영), 주말 10:00-18:00",Y,Y,Y,Y,N
경산시립박물관,전시/공연,경상북도,35.81398388,128.763123,053-804-7314,museum.gbgs.go.kr/n/html/,"매주 월요일, 공휴일",09:00-18:00,Y,Y,Y,Y,Y
경산시민운동장,레저/체육/공원,경상북도,35.89254023,128.791384,053-810-5423,www.gbgs.go.kr/special/life/page.do?mnu_uid=3933,연중무휴,06:00-23:00,N,N,Y,Y,Y
경산이발테마관,전시/공연,경상북도,35.81727765,128.735541,053-810-5528,www.gbgs.go.kr/open_content/tour/page.do?mnu_uid=4849,"매주 토요일, 일요일, 공휴일",10:00-17:00,Y,N,N,Y,N
경산재,문화관광/명소,경상북도,35.60506523,128.843147,,정보없음,정보없음,정보없음,N,N,N,N,N
경산재,문화관광/명소,경상북도,35.62300858,128.826904,,정보없음,정보없음,정보없음,N,N,N,N,N
경산체육공원,레저/체육/공원,경상북도,35.82111713,128.743773,053-810-5422,www.gbgs.go.kr/open_content/sportslife/index.do,연중무휴,오전 6시-23시,Y,Y,Y,Y,N
경상남도고성군청오광대전수관,전시/공연,경상남도,34.97273871,128.322313,055-674-2582,정보없음,"공휴일, 공연있을시 휴무","9시-18시, 공연시 시간 유동적",Y,Y,Y,Y,Y
경상남도교육청 과학교육원 우포생태교육원,전시/공연,경상남도,35.53579444,128.427753,055-532-2758,gnse.gne.go.kr/upo/main.do,"매주 토요일, 일요일, 공휴일",월-금 09:00-18:00,N,N,N,Y,N
경상남도농업기술원농경문화관,전시/공연,경상남도,35.21099875,128.117539,055-254-1114,www.gnares.go.kr/,정보없음,정보없음,Y,Y,Y,Y,Y
경상남도무형문화재거창전수관,전시/공연,경상남도,35.67353077,127.90942,055-943-3359,정보없음,"매주 토요일, 일요일, 공휴일",정보없음,Y,Y,Y,Y,N
경상남도세일링연맹,레저/체육/공원,경상남도,34.82773379,128.433841,055-643-3335,gnyf.co.kr/gnyf/main/main.php,"매주 토요일, 일요일, 공휴일",09:00-18:00,N,Y,Y,Y,N
경상남도수목원,전시/공연,경상남도,35.15719825,128.295736,055-254-3886,www.gyeongnam.go.kr/tree/index.gyeong#close,"매주 월요일, 공휴일","매일 09:00-17:00 (11월-2월), 매일 09:00-18:00 (3월-10월)",Y,Y,Y,Y,Y
경상남도안전체험관,전시/공연,경상남도,35.55429859,128.114461,055-211-5497,www.gnfire.go.kr/firesafe/main.do,"매주 월요일, 공휴일",평일 09:00-17:00,Y,Y,Y,Y,Y
경상남도청도청잔디광장,레저/체육/공원,경상남도,35.23780325,128.69194,055-211-3873,정보없음,연중무휴,상시개방,Y,Y,Y,Y,Y
경상대학교박물관,전시/공연,경상남도,35.15671413,128.098001,055-772-0601,www.gnu.ac.kr/museum/main.do,"매주 일요일, 공휴일",월-금 10:00-17:00 코로나19로 인해 토요일은 개관하지 않습니다.,Y,Y,Y,Y,Y
경상대학교부속동물사육장,문화관광/명소,경상남도,35.20678723,128.139061,055-761-2349,정보없음,"매주 토요일, 일요일, 공휴일",정보없음,Y,N,N,Y,N
경상북도교육청문화원독도교육체험관,전시/공연,경상북도,36.07355012,129.39146,054-245-7741,dokdoschool.gyo6.net/kor/cm/cntnts/cntntsView.do?mi=1256&cntntsId=1086,"매주 일요일, 공휴일",09:00-18:00 사전예약제,Y,Y,Y,N,Y
경상북도교육청의성안전체험관,전시/공연,경상북도,36.4726534,128.386281,054-726-0065,www.gbe.kr/safetycenter/main.do,"매주 토요일, 일요일, 공휴일","09:00-18:00, 휴게시간 12:00-13:00 , 체험시간 오전 09:20-11:50 / 오후 13:20-15:50 / 1일 2회",Y,Y,Y,Y,Y
경상북도농어촌체험휴양마을협의회,문화관광/명소,대구광역시,35.90071715,128.441318,,정보없음,정보없음,정보없음,N,N,N,N,N
경상북도독립운동기념관,전시/공연,경상북도,36.53319519,128.858222,054-820-2600,815gb.or.kr/,"매주 월요일, 공휴일",오전9시-오후6시 (입장마감:오후5시),Y,Y,Y,N,N
경상북도수목원,문화관광/명소,경상북도,36.21987882,129.258902,054-260-6100,www.gb.go.kr/Main/open_contents/section/arboretum/index.do,정보없음,"하절기(3월-10월) 10:00-17:00,동절기(11월-2월) 10:00-16:00",N,N,N,Y,N
경상북도유교문화회관,전시/공연,경상북도,36.56712756,128.726825,054-840-6114,정보없음,"매주 토요일, 일요일, 공휴일",정보없음,Y,N,N,N,N
경상북도콘텐츠진흥원,전시/공연,경상북도,36.56462973,128.733448,054-840-7000,gcube.or.kr:1021/home/main.asp,정보없음,정보없음,Y,Y,Y,N,Y
경상쳄버홀,전시/공연,경상남도,35.21569509,128.141708,055-761-0916,vkart.co.kr/,"매주 토요일, 일요일, 공휴일",정보없음,N,N,N,Y,N
경상M씨어터,전시/공연,경상남도,35.21569509,128.141708,055-761-0916,정보없음,"매주 토요일, 일요일, 공휴일",09:00-18:00,Y,Y,N,Y,Y
경성대학교미술관,전시/공연,부산광역시,35.13843836,129.100099,051-663-5363,cms1.ks.ac.kr/culture/Contents.do?mCode=MN0972,정보없음,09:00-18:00,Y,Y,Y,N,Y
경성실내풋살장 & 스크린골프,레저/체육/공원,대전광역시,36.3366203,127.378636,042-535-0201,정보없음,정보없음,09:00-24:00,N,N,N,N,N
경신문화센터,전시/공연,경상북도,35.86313221,129.214883,,cafe.naver.com/centerks,매주 일요일,10:00-19:00,N,N,N,Y,N
경신문화센터,전시/공연,대구광역시,35.9080344,128.542164,0507-1486-7878,https://url.kr/quol96,공휴일,평일 10:00-21:00,N,N,N,N,N
경암미술관,전시/공연,경기도,37.89334176,126.96008,,정보없음,정보없음,정보없음,N,N,N,N,N
경암미술관,전시/공연,경기도,37.46769029,127.589637,,정보없음,정보없음,정보없음,N,N,N,N,N
경원선철도중단점,문화관광/명소,강원도,38.25745777,127.166284,033-450-5114,정보없음,정보없음,정보없음,N,N,N,N,N
경인미술관,전시/공연,서울특별시,37.57459086,126.985723,02-733-4448,www.kyunginart.co.kr/kor/,공휴일,10:00-18:00,Y,N,N,Y,N
경인아라뱃길홍보관,전시/공연,인천광역시,37.57340188,126.710351,032-590-2243,정보없음,공휴일,홍보관09:30-17:30/전망대09:00-22:00,Y,Y,Y,Y,Y
경인아라뱃길홍보관,전시/공연,인천광역시,37.55843603,126.607464,1899-3650,정보없음,공휴일,09:30-17:30,Y,Y,Y,Y,Y
경정해수욕장,문화관광/명소,경상북도,36.48519106,129.433187,054-730-7603,정보없음,정보없음,정보없음,N,N,N,Y,N
경주국립공원,레저/체육/공원,경상북도,35.80191607,129.214889,054-778-4100,https://url.kr/xy7tnp,상시변동,"계절별 탐방로별 입장 및 통제시간 상이, 시간은 홈페이지 참조",N,Y,N,Y,Y
경주대학교박물관,전시/공연,경상북도,35.82926585,129.163239,054-770-5081,www.gu.ac.kr/07_introduction/05_uniOrga_03_04.html,"매주 토요일, 일요일, 공휴일",9:30-17:30,N,N,N,N,N
경주동궁과월지,문화관광/명소,경상북도,35.83479378,129.22657,054-750-8655,gjfmc.or.kr/gjsiseol/facility/facilityTab1.do,연중무휴,09:00-22:00(매표 및 입장 마감시간 21:30),Y,Y,Y,Y,Y
경주동궁원,문화관광/명소,경상북도,35.84949074,129.261505,054-779-8725,gyeongjuepg.kr/,연중무휴,09:30-19:00,Y,Y,Y,Y,Y
경주민속공예촌,문화관광/명소,경상북도,35.80517239,129.311618,054-746-7270,www.gyeongju.go.kr/tour/page.do?cmd=2&mnu_uid=2293&area_uid=84,매주 월요일,"09:00-18:00 하절기, 09:00-17:00 동절기10-17",N,Y,N,Y,N
경주민속공예촌공예전시관,전시/공연,경상북도,35.80773341,129.310225,054-746-7270,www.gyeongju.go.kr/tour/page.do?mnu_uid=2695&con_uid=252&cmd=2,정보없음,"하절기 09:00-18:00, 동절기 09:00-17:00",N,N,Y,Y,N
경주민속공예촌신라역사과학관,전시/공연,경상북도,35.80688551,129.311351,054-745-4998,sasm2.modoo.at,매주 목요일,금-수 10:00-17:00,N,Y,N,Y,N
경주버드파크,문화관광/명소,경상북도,35.84949074,129.261505,054-777-7200,www.birdparks.co.kr,연중무휴,10:00-19:00,Y,Y,Y,Y,Y
경주베이스볼파크손곡야구장,레저/체육/공원,경상북도,35.86518047,129.280915,054-750-8570,https://url.kr/46gdkj,정보없음,"하절기 09:00-23:00, 동절기 09:00-22:00",Y,Y,Y,Y,N
경주보문관광단지,문화관광/명소,경상북도,35.84354134,129.286559,054-745-7601,정보없음,연중무휴,24시,Y,Y,Y,Y,Y
경주사업총괄본부,레저/체육/공원,서울특별시,37.60650314,127.02851,02-918-0542,www.krace.or.kr/contents/company/mapSpeezonPage.do,"매주 월요일, 화요일, 공휴일",10:00-18:00,N,N,N,N,N
경주산내목공예도자기곤충체험관,문화관광/명소,경상북도,35.75545724,129.035623,,정보없음,정보없음,정보없음,N,N,N,N,N
경주세계자동차박물관,전시/공연,경상북도,35.85210632,129.268549,054-742-8900,carmuseum.co.kr//,연중무휴,오전 10시-오후 6시 30분,Y,Y,Y,Y,Y
경주손재림화폐박물관,전시/공연,경상북도,35.84286449,129.287297,054-774-4771,sjlmuseum.itrocks.kr/,상시변동,정보없음,Y,N,Y,N,Y
경주시국제문화교류관,전시/공연,경상북도,35.83380744,129.205404,054-743-6500,정보없음,정보없음,09:00-18:00,N,N,N,N,N
경주시민운동장,레저/체육/공원,경상북도,35.85998033,129.211976,054-750-8555,www.gjfmc.or.kr/gjsiseol,공휴일,매일 06:00-22:00,Y,Y,Y,Y,N
경주시민운동장 경주축구공원 1구장,레저/체육/공원,경상북도,35.85631159,129.21349,054-750-8554,https://url.kr/j4fund,정보없음,"4월-9월 주간(09시-19시), 야간(19시-22시),10월-다음해 3월 주간(09시-17시), 야간(17시-22시)",N,N,N,N,N
경주시민운동장 경주축구공원 2구장,레저/체육/공원,경상북도,35.85631159,129.21349,054-750-8554,https://url.kr/yjstip,공휴일,09:00-22:00,Y,Y,N,Y,N
경주시민운동장 경주축구공원 4구장,레저/체육/공원,경상북도,35.85836977,129.209957,054-750-8554,https://url.kr/a34bmc,공휴일,"4월-9월 주간(09시-19시), 야간(19시-22시),10월-다음해 3월 주간(09시-17시), 야간(17시-22시)",Y,Y,N,Y,N
경주시민운동장 경주축구공원 5구장,레저/체육/공원,경상북도,35.85981958,129.20778,054-750-8554,https://url.kr/a34bmc,공휴일,"4월-9월 주간(09시-19시), 야간(19시-22시),10월-다음해 3월 주간(09시-17시), 야간(17시-22시)",Y,Y,N,Y,N
경주시민운동장 경주축구공원 6구장,레저/체육/공원,경상북도,35.85981958,129.20778,054-750-8554,https://url.kr/a34bmc,공휴일,"4월-9월 주간(09시-19시), 야간(19시-22시),10월-다음해 3월 주간(09시-17시), 야간(17시-22시)",Y,Y,N,Y,N
경주시전통명주전시관,전시/공연,경상북도,35.76691109,129.434475,054-777-3492,www.gyeongjusilk.com/,매주 월요일,화-일 9:30-17:30,Y,Y,Y,Y,N
경주신라CC,레저/체육/공원,경상북도,35.85870743,129.281634,054-740-7114,www.sillacc.co.kr/,연중무휴,06:00-24:00,N,Y,Y,N,Y
경주엑스포공원또봇정크아트뮤지엄,전시/공연,경상북도,35.8322527,129.288867,054-741-5300,정보없음,연중무휴,매일 09:00-17:00,Y,Y,Y,Y,Y
경주엑스포공원엑스포기념관,전시/공연,경상북도,35.8322527,129.288867,054-740-3035,cultureexpo.or.kr/intro/,연중무휴,10:00-19:00,Y,Y,Y,Y,Y
경주엑스포대공원,전시/공연,경상북도,35.8322527,129.288867,054-748-3011,www.cultureexpo.or.kr/open.content/expo/,정보없음,매일 10:00-18:00,Y,Y,Y,Y,Y
경주엑스포대공원 천마의궁전,전시/공연,경상북도,35.8322527,129.288867,054-748-3011,www.cultureexpo.or.kr/intro/,연중무휴,10:00-19:00,Y,Y,Y,Y,Y
경주예술의전당,전시/공연,경상북도,35.86235646,129.205996,1588-4925,www.garts.kr/index.do,매주 월요일,화-일 10:00-18:00,Y,Y,Y,N,Y
경주월드,문화관광/명소,경상북도,35.83610009,129.279149,1544-8765,www.gjw.co.kr/Contents/contents.php,연중무휴,주중10:00-18:00 주말 10:00-20:00,Y,Y,Y,Y,Y
경주월드리조트스노우파크,레저/체육/공원,경상북도,35.83610009,129.279149,1544-8765,www.gjw.co.kr/Contents/contents.php,상시변동,시즌종료,Y,Y,Y,Y,Y
경주월드어린이눈썰매장,레저/체육/공원,경상북도,35.83610009,129.279149,1544-8765,www.gjw.co.kr/Contents/contents.php,연중무휴,"평일 10:00-18:00,주말 10:00-20:00",Y,Y,Y,Y,N
경주월드어뮤즈먼트,문화관광/명소,경상북도,35.83610009,129.279149,1544-8765,www.gjw.co.kr/Contents/contents.php,연중무휴,"평일 10:00-18:00,주말 10:00-20:00",Y,Y,Y,Y,Y
경주월드일반눈썰매장,레저/체육/공원,경상북도,35.83610009,129.279149,1544-8765,www.gjw.co.kr/Contents/contents.php,연중무휴,"평일 10:00-18:00,주말 10:00-20:00",Y,Y,Y,Y,N
경주월드캘리포니아비치,레저/체육/공원,경상북도,35.83610009,129.279149,054-745-7711,www.gjw.co.kr/California/contents.php,정보없음,오전 10:00-18:00,N,Y,Y,Y,Y
경주읍성,문화관광/명소,경상북도,35.84923855,129.213903,054-779-8585,www.gyeongju.go.kr/tour/page.do?mnu_uid=2695&con_uid=172&cmd=2,연중무휴,상시개방,N,N,N,Y,N
경주정씨비각,문화관광/명소,경기도,36.9905594,126.934931,,정보없음,정보없음,정보없음,N,N,N,N,N
경주허브랜드 식물원글램핑,문화관광/명소,경상북도,35.78949833,129.386375,054-744-9080,정보없음,연중무휴,평일10:00-18:00/주말09:30-18:30,Y,N,N,Y,N
경주화백컨벤션센터,전시/공연,경상북도,35.83842379,129.287939,054-702-1000,www.hico.or.kr/,정보없음,정보없음,Y,Y,Y,N,N
경주황성공원경주축구공원,레저/체육/공원,경상북도,35.85786369,129.210562,054-750-8554,https://url.kr/a34bmc,공휴일,09:00-22:00,Y,Y,N,N,N
경주CC,레저/체육/공원,경상북도,35.86912554,129.255789,054-778-8900,www.kyongjugolf.co.kr/,상시변동,예약제,N,N,Y,N,N
경찰박물관,전시/공연,강원도,37.92530023,127.749932,033-245-0481,www.gwpolice.go.kr/hall/sub01/sub01_01_01.jsp,"매주 월요일, 공휴일","09:30-17:30,동절기(1-2월, 11-12월 : 09:30-17:00)",Y,N,Y,N,N
경찰박물관,전시/공연,서울특별시,37.5720573,126.962196,02-3150-3681,www.policemuseum.go.kr/,매주 월요일,9:30-17:30,Y,N,N,Y,N
경천대관광지,문화관광/명소,경상북도,36.45722237,128.247865,054-536-7040,정보없음,연중무휴,24시,N,N,N,N,N
경천대관광지경천대눈썰매장,레저/체육/공원,경상북도,36.45478582,128.244254,054-536-3686,정보없음,정보없음,"매일 10:00-17:00, 입장 마감 16:30",Y,Y,Y,N,N
경춘선숲길갤러리,전시/공연,서울특별시,37.62530282,127.094051,,정보없음,매주 월요일,12:00-22:00,Y,N,Y,Y,N
경치좋은길,문화관광/명소,전라남도,34.38180686,126.787011,,정보없음,정보없음,정보없음,N,N,N,N,N
경포대,문화관광/명소,강원도,37.79556876,128.896539,033-640-4471,www.gn.go.kr/tour/prog/lod/Sights/S0101/sub02_02_02/view.do?cid=434&orderBy=B&pageIndex=1,정보없음,09:00-18:00,Y,Y,Y,Y,N
경포대씨드림리조트,레저/체육/공원,강원도,37.79605285,128.915848,033-651-8082,seadream.co.kr/,정보없음,정보없음,N,N,N,N,N
경포도립공원,레저/체육/공원,강원도,37.80343983,128.903267,033-640-4537,https://url.kr/vqz5hj,상시변동,24시 개방,Y,Y,Y,Y,N
경포아쿠아리움,전시/공연,강원도,37.79001077,128.907873,033-645-7887,www.gg-aqua.com,연중무휴,10:00-18:00,Y,Y,Y,N,N
경포해수욕장,문화관광/명소,강원도,37.81110307,128.893649,033-640-4531,www.gn.go.kr/tour/prog/lod/Sights/S0101/sub02_02_02/view.do?cid=434&orderBy=B&pageIndex=1,정보없음,상시개방,Y,Y,Y,Y,N
경향갤러리,전시/공연,서울특별시,37.56817327,126.969976,02-6731-6750,https://url.kr/b3to6a,공휴일,"월-금 10:00-21:00, 토 10:00-19:00, 일 12:00-19:00",Y,Y,Y,Y,Y
